Team,Diagnosis Code,Z score
UW-biostat,M35.00,6.298740751
UW-biostat,F11.20,-15.69538294
UW-biostat,F33.41,-19.96439248
UW-biostat,L30,29.15590138
UW-biostat,L30.9,-6.281222935
UW-biostat,M19.04,-2.097312664
UW-biostat,M19.041,-9.45098321
UW-biostat,S05,-8.397855707
UW-biostat,S05.1,5.252067706
UW-biostat,S05.11,3.152663341
UW-biostat,R04,95.67241581
UW-biostat,R04.0,68.85999415
UW-biostat,M79.66,29.27034899
UW-biostat,M79.661,9.437171615
UW-biostat,S00,-6.280678884
UW-biostat,S00.8,5.239700858
UW-biostat,S00.83,4.195656638
UW-biostat,S00.83XA,4.195813741
UW-biostat,M79.662,11.53100639
UW-biostat,D63,253.0100153
UW-biostat,D63.1,83.25461707
UW-biostat,S39,-6.275803889
UW-biostat,S39.9,20.91202309
UW-biostat,S39.91,1.049494442
UW-biostat,S39.91XA,1.049510151
UW-biostat,S29.8,3.148214095
UW-biostat,S29.8XXA,1.049596548
UW-biostat,S01,-49.27978748
UW-biostat,S01.2,-8.41363231
UW-biostat,S19,-12.55273238
UW-biostat,S19.8,-9.415850185
UW-biostat,S19.89,-15.71356232
UW-biostat,S19.89XA,-15.7136215
UW-biostat,M19.042,2.098777387
UW-biostat,S02.2,-38.96119581
UW-biostat,S02.2XXA,-28.41149257
UW-biostat,I35.0,-49.41964174
UW-biostat,S39.93,16.75231913
UW-biostat,S39.93XA,16.7524448
UW-biostat,F01-F09,-73.2896522
UW-biostat,F03,25.08660269
UW-biostat,F03.9,25.08660269
UW-biostat,F03.90,19.87499044
UW-biostat,K63.8,2.097017271
UW-biostat,K63.89,2.097017271
UW-biostat,G47.3,-129.9010208
UW-biostat,G47.30,-40.80979477
UW-biostat,K50-K52,54.8764161
UW-biostat,K50,12.55009581
UW-biostat,K50.9,5.240703118
UW-biostat,K50.90,2.098376782
UW-biostat,K59,339.4171826
UW-biostat,K59.0,342.0976568
UW-biostat,K59.00,383.9844176
UW-biostat,L60-L75,35.07916699
UW-biostat,L72,11.52474326
UW-biostat,F31,-78.6639793
UW-biostat,F31.9,-41.93542383
UW-biostat,R23,73.94143724
UW-biostat,R23.3,23.07696197
UW-biostat,M25.8,5.241351533
UW-biostat,M25.85,-1.17E-11
UW-biostat,M25.851,1.050895527
UW-biostat,S69,12.5657135
UW-biostat,S69.9,9.429536757
UW-biostat,S69.91,6.296339436
UW-biostat,S69.91XA,6.296786812
UW-biostat,T15-T19,8.391890868
UW-biostat,T17,9.449458661
UW-biostat,T17.9,8.402559173
UW-biostat,K80-K87,108.4483391
UW-biostat,K80,28.18973031
UW-biostat,K80.5,1.050491493
UW-biostat,K80.50,-3.152850946
UW-biostat,K80.2,7.329534829
UW-biostat,K80.20,7.329810127
UW-biostat,K83,47.041034
UW-biostat,K83.8,7.347379336
UW-biostat,J45.901,-37.91086884
UW-biostat,J95-J95,143.2567169
UW-biostat,J95,143.2567169
UW-biostat,J95.8,126.837469
UW-biostat,J95.82,18.89331819
UW-biostat,J95.821,18.89331819
UW-biostat,R17,63.74994935
UW-biostat,K57,13.53238024
UW-biostat,K57.3,-31.39269274
UW-biostat,K57.30,-27.21458339
UW-biostat,T20-T25,-72.70265084
UW-biostat,T25,1.050715105
UW-biostat,T25.2,1.050966119
UW-biostat,R26,-34.57996979
UW-biostat,R26.2,-43.06731144
UW-biostat,M25.60,-3.153227652
UW-biostat,F32,65.57647401
UW-biostat,F32.2,8.399642485
UW-biostat,S82,17.73809609
UW-biostat,S82.8,-7.340387441
UW-biostat,S82.84,-4.20438202
UW-biostat,S82.842,-4.205559154
UW-biostat,L00-L08,43.22298944
UW-biostat,L03,5.193378406
UW-biostat,L03.0,-13.65959327
UW-biostat,L03.01,-13.67037328
UW-biostat,L03.012,-1.17E-11
UW-biostat,S69.92,4.197839825
UW-biostat,S69.92XA,3.148991421
UW-biostat,S61,51.09290622
UW-biostat,S61.2,15.72054049
UW-biostat,S61.21,12.58625453
UW-biostat,S61.211,2.101681349
UW-biostat,S61.211A,2.101744091
UW-biostat,M85.80,5.230041379
UW-biostat,K57.32,-8.411245807
UW-biostat,H91,75.77278963
UW-biostat,H91.9,73.7636528
UW-biostat,H91.93,5.241587299
UW-biostat,L30.4,25.16060382
UW-biostat,D68.5,13.63725575
UW-biostat,D68.51,2.101069511
UW-biostat,R00,322.2425219
UW-biostat,R00.2,-2.089052971
UW-biostat,K59.8,10.50296713
UW-biostat,C69-C72,-133.500907
UW-biostat,C71,-131.4478575
UW-biostat,C71.9,-107.9871259
UW-biostat,R45,-19.83007464
UW-biostat,R45.4,-1.17E-11
UW-biostat,G80-G83,44.73650072
UW-biostat,G81,79.19472673
UW-biostat,G81.9,76.11675124
UW-biostat,G81.94,14.68606134
UW-biostat,R45.1,12.57631818
UW-biostat,G93,574.30443
UW-biostat,G93.6,41.85194717
UW-biostat,D49-D49,-35.71154008
UW-biostat,D49,-35.71154008
UW-biostat,D49.6,-32.65711123
UW-biostat,I67,-3.14376042
UW-biostat,I67.8,4.199817804
UW-biostat,I67.89,-7.360251745
UW-biostat,L10-L14,3.152169305
UW-biostat,I87,94.5615291
UW-biostat,I87.2,23.03574471
UW-biostat,E11.3,12.57612974
UW-biostat,E11.31,-1.049741368
UW-biostat,E11.319,-3.151543882
UW-biostat,L12,-1.051291608
UW-biostat,L12.0,-1.051381801
